RAW_WORD,NORMALIZED_WORD,MEANING_INDONESIAN,WORD_TYPE,IS_KRAMA
gadhah,GADHAH,mempunyai,Kata Kerja,
gaduk,GADUK,mampu menggapai (sesuatu di tempat yang tinggi),,
gagang,GAGANG,tangkai,Kata Benda,
gagas,GAGAS,pikir,Kata Kerja,
gagé,GAGE,cepat,Kata Keadaan,
gajih,GAJIH,lemak jenuh,Kata Benda,
galar,GALAR,batang bambu; alas kasur,Kata Benda,
galengan,GALENGAN,jalur pembatas petak sawah,Kata Benda,
gali,GALI,"pencoleng, penjahat",,
galih,GALIH,merasakan dalam hati,Kata Kerja,
galih,GALIH,"bagian tengah kayu yang paling keras, pikiran",,
gaman,GAMAN,senjata,Kata Benda,
gambas,GAMBAS,petola,Kata Benda,
gambir,GAMBIR,buah pinang yang sudah diolah,Kata Benda,
gambyong,GAMBYONG,nama tarian untuk menyambut tamu,Kata Benda,
gamel,GAMEL,tukang merawat kuda,Kata Benda,
gamelan,GAMELAN,alat musik Jawa,Kata Benda,
gampil,GAMPIL,"gampang, mudah",Kata Sifat,Krama
gampar,GAMPAR,"sandal dari kayu, pukul",,
gamping,GAMPING,kapur tembok,Kata Benda,
gampèng,GAMPENG,tebing,,
ganda,GANDA,bau,Kata Benda,
gandarwa,GANDARWA,hantu besar hitam,Kata Benda,
gandhen,GANDHEN,palu /martil,Kata Benda,
gandheng,GANDHENG,gandeng,Kata Sifat,
gandhes,GANDHES,luwes,Kata Sifat,
gandhol,GANDHOL,bergantung pada sesuatu,Kata Keadaan,
gandhul,GANDHUL,"tergantung (untuk benda yang berat; menggantung, buah pepaya",Kata Keadaan,
gandrik,GANDRIK,kata seru mirip 'astaga',,
gandrung,GANDRUNG,tergila-gila,,
ganep,GANEP,gebap,Kata Sifat,
gangsal,GANGSAL,lima,Kata Bilangan,
gangsar,GANGSAR,lancar,Kata Keadaan,
gangsir,GANGSIR,sejenis jangkrik,,
gapit,GAPIT,penjepit,,
gaplek,GAPLEK,singkong yang dikeringkan,Kata Benda,
gapuk,GAPUK,rapuh dimakan usia (untuk kayu,Kata Sifat,
gapyuk,GAPYUK,tidak sengaja bertemu berhadapan / memeluk dari belakang,Kata Keadaan,
garan,GARAN,gagang,Kata Benda,
garangan,GARANGAN,"sejenis kucing liar, pemanggang",,
garing,GARING,kering,Kata Sifat,
garu,GARU,alat penggaruk tanah; alat meratakan tanah di sawah dengan menggunakan tenaga ternak (kerbau atau sapi,Kata Benda,
garu,GARU,menggaruk tanah,Kata Kerja,
garudha,GARUDHA,"garuda, nama burung dalam mitos Jawa ( elang",Kata Benda,
garwa,GARWA,suami/istri,Kata Benda,Krama
gasik,GASIK,awal,Kata Keadaan,
gatel,GATEL,gatal,Kata Sifat,
gathot,GATHOT,makanan dari gaplek,Kata Benda,
gathuk,GATHUK,"ketemu dan cocok, sesuai",,
gati,GATI,memberi perhatian,,
gawa/nggawa,GAWA/NGGAWA,bawa; membawa,,
gawan,GAWAN,bawaan,Kata Benda,
gawang-gawang,GAWANG-GAWANG,terbayang,Kata Kerja,
gawé,GAWE,"buat, membuat, hajat",Kata Kerja,
gayuh,GAYUH,capai,Kata Kerja,
gayok,GAYOK,gapai,,
geber,GEBER,layar penutup panggung,Kata Kerja,
gebug,GEBUG,hantam badan dengan benda keras; pemukul besar,Kata Kerja,
gedhang,GEDHANG,pisang,Kata Benda,
gedhèk,GEDHEK,dinding dari anyaman bambu,,
gedhé,GEDHE,besar,Kata Sifat,
gegana,GEGANA,angkasa,Kata Benda,
gegayuhan,GEGAYUHAN,keinginan/cita-cita,Kata Benda,
gegedhug,GEGEDHUG,"pimpinan (untuk kelompok penjahat, pembuat onar",Kata Benda,
geger,GEGER,punggung,Kata Benda,
geger,GEGER,ribut,Kata Sifat,
gela,GELA,"menyesal, kecewa",Kata Sifat,
gelak,GELAK,percepat,Kata Kerja,
gelap,GELAP,petir,,
gelar,GELAR,bentang (tikar,Kata Kerja,
gelem,GELEM,mau,Kata Kerja,
gelis,GELIS,cepat,Kata Keadaan,
gelut,GELUT,gulat,,
gemah,GEMAH,makmur,,
gemak,GEMAK,burung puyuh,Kata Benda,
gemang,GEMANG,tidak mau,Kata Kerja,
gembili,GEMBILI,sejenis ubi/talas,Kata Benda,
gemblak,GEMBLAK,anak lelaki yang dijadikan kekasih seorang lelaki,Kata Benda,
gemblung,GEMBLUNG,"tidak normal pikirannya, gila",Kata Sifat,
gembor,GEMBOR,alat untuk menyiram tanaman,Kata Benda,
gembul,GEMBUL,makan bersama,,
gemes,GEMES,gemas,Kata Kerja,
gemlethak,GEMLETHAK,bergeletakan,Kata Sifat,
gemlundung,GEMLUNDUNG,bergelundungan,Kata Kerja,
gempur,GEMPUR,serang,,
gemrubug,GEMRUBUG,menderu (suara angin,Kata Keadaan,
gemrudug,GEMRUDUG,pergi/datangnya dalam jumlah besar,Kata Keadaan,
gemré gah,GEMRE GAH,bangkit seketika,Kata Kerja,
gemrégah,GEMREGAH,bangkit seketika,Kata Kerja,
gemuk,GEMUK,lemak; pelumas,Kata Benda,
genah,GENAH,gampang,Kata Benda,
genah,GENAH,jelas,Kata Sifat,
gendhakan,GENDHAKAN,wanita simpanan,Kata Benda,
gendheng,GENDHENG,"gila, gila",Kata Sifat,
gendhing,GENDHING,musik Jawa; lagu pada gamelan,Kata Benda,
gendhis,GENDHIS,gula,,Krama
gendhuk,GENDHUK,panggilan untuk anak perempuan,Kata Benda,
gendhèng,GENDHENG,atap seng,Kata Sifat,
gendruwo,GENDRUWO,hantu besar hitam,Kata Benda,
gendul,GENDUL,botol,Kata Benda,
gendèr,GENDER,nama alat musik pukul,Kata Benda,
gendéra,GENDERA,bendera,,
geni,GENI,api,Kata Benda,
genthong,GENTHONG,tempayan,Kata Benda,
genthèng,GENTHENG,genteng,Kata Sifat,
genuk,GENUK,tempayan kecil,Kata Benda,
geplak,GEPLAK,nama jajanan terbuat dari kelapa parut dan gula,Kata Benda,
gepuk,GEPUK,pukul,Kata Kerja,
gerah,GERAH,sakit,,Krama
gerah,GERAH,sakit,Kata Sifat,
gerang,GERANG,dewasa,Kata Sifat,
gering,GERING,sakit,Kata Sifat,
germo,GERMO,mucikari,Kata Benda,
gero-gero,GERO-GERO,menangis melolong-lolong,Kata Kerja,
gerèh,GEREH,ikan asin,Kata Benda,
gesang,GESANG,hidup,,
geseng,GESENG,hitam,Kata Sifat,
getak,GETAK,hardik,Kata Kerja,
getap,GETAP,cepat bertindak/bereaksi,Kata Sifat,
getas,GETAS,retas; mudah patah,Kata Sifat,
gething,GETHING,benci,Kata Kerja,
gethuk,GETHUK,singkong rebus tumbuk; makanan dari ubi jalar,Kata Benda,
getih,GETIH,darah,Kata Benda,
getir,GETIR,rasa antara pahit menusuk,Kata Sifat,
getun,GETUN,menyesal,Kata Sifat,
gibeng,GIBENG,"pukul, tinju",,
gila,GILA,jijik; nggilani,Kata Sifat,
giles,GILES,gilas,,
gilig,GILIG,tidak pipih,Kata Sifat,
gimbal,GIMBAL,rambut yang panjang tapi kotor dan lengket,,
ginanjar,GINANJAR,diberi hadiah/ganjaran,Kata Kerja,
giris,GIRIS,ngeri,Kata Sifat,
gisik,GISIK,"pantai, pesisir",,
gita,GITA,"segera, cepat",,
githok,GITHOK,"belakang leher, tengkuk",Kata Benda,
gitik,GITIK,memukul dengan sebilah kayu kecil,,
glagah,GLAGAH,tangkai bunga tebu,,
glagar,GLAGAR,balok,,
glagepan,GLAGEPAN,"tidak lancar berbicara, tidak bisa bernafas karena tenggelam dalam air",,
glandhang,GLANDHANG,menarik dengan paksa,,
glandhangan,GLANDHANGAN,tuna wisma,,
glangsaran,GLANGSARAN,jatuh terkapar,Kata Keadaan,
glathik,GLATHIK,burung gelatik,Kata Benda,
glenik,GLENIK,bujuk,Kata Kerja,
glethak,GLETHAK,terletak,Kata Kerja,
glindhing,GLINDHING,menggelinding; bergulir,Kata Kerja,
glondhang,GLONDHANG,"suara tong kosong, kosong",,
gludhug,GLUDHUG,guruh,Kata Benda,
glugu,GLUGU,batang pohon kelapa,,
glundhung,GLUNDHUNG,menggelinding; terguling,Kata Kerja,
gobang,GOBANG,uang logam,Kata Benda,
goblog,GOBLOG,bodoh,,
gocèk,GOCEK,berpegang,Kata Kerja,
godhag,GODHAG,mampu berbuat,Kata Sifat,
godhog,GODHOG,rebus,Kata Kerja,
godhong,GODHONG,daun,Kata Benda,
gogor,GOGOR,anak harimau,Kata Benda,
gogrok,GOGROK,rontok,,
gojek,GOJEK,bercanda / bergurau,,
gombak,GOMBAK,surai kuda,Kata Benda,
gombal,GOMBAL,"kain usang, kain bekas untuk lap",Kata Benda,
gombong,GOMBONG,"nama sebuah kota di Jawa Tengah, besar tapi kurang berisi",,
gondhal-gandhul,GONDHAL-GANDHUL,berayun-ayun (untuk benda yang tergantung,Kata Sifat,
gondhangen,GONDHANGEN,bengkak setelah dikhitan,Kata Sifat,
gondhelan,GONDHELAN,berpegang,Kata Kerja,
gondhok,GONDHOK,bengkak pada kelenjar di leher,Kata Benda,
gondhol,GONDHOL,bawa lari/gonggong,Kata Kerja,
gondhong,GONDHONG,bengkak pada leher,Kata Benda,
gongso,GONGSO,gamelan,,Krama
gongso,GONGSO,menggoreng dengan sedikit minyak goreng atau dengan tempayan tanpa menggunakan minyak goreng,,
gori,GORI,nangka muda,Kata Benda,
gosong/geseng,GOSONG/GESENG,hangus; menghitam; Karbonisasi,,
gothot,GOTHOT,berotot,Kata Sifat,
gotong,GOTONG,angkat,Kata Kerja,
gowang,GOWANG,"berlubang pada tepi (gigi, pisau",Kata Sifat,
grabah,GRABAH,perlengkapan rumah/perkakas dapur yang terbuat dari tanah liat,Kata Benda,
gragal,GRAGAL,kerikil besar,Kata Benda,
gragapan,GRAGAPAN,dalam keadaan belum sepenuhnya terjaga dari tidur,Kata Keadaan,
grahana,GRAHANA,gerhana,Kata Benda,
grana,GRANA,hidung,Kata Benda,
grapyak,GRAPYAK,ramah,Kata Sifat,
grasak,GRASAK,barang bekas,,
grayang,GRAYANG,raba,,
greget,GREGET,antusias,,
gregeten,GREGETEN,jengkel,,
grenengan,GRENENGAN,berbicara dengan suara rendah,Kata Kerja,
gribik,GRIBIK,atap rumah yang terbuat dari anyaman rumput,,
grimis,GRIMIS,hujan rintik-rintik,,
gringgingen,GRINGGINGEN,kesemutan,Kata Sifat,
gringsing,GRINGSING,jenis kain/tenunan,Kata Benda,
griya,GRIYA,rumah,Kata Benda,
grojogan,GROJOGAN,air terjun,,
gronjal/gronjalan,GRONJAL/GRONJALAN,jalan tidak rata,,
gropyok,GROPYOK,ditangkap berramai-ramai,,
growah,GROWAH,tidak utuh (misalnya gerhana),,
growong,GROWONG,berongga,,
grudhal,GRUDHAL,kotoran gigi,Kata Benda,
grudug,GRUDUG,pergi/datang dalam jumlah besar; datang berramai-ramai,Kata Kerja,
gruwung,GRUWUNG,berlubang,Kata Sifat,
grèsèk,GRESEK,mencari di antara sisa-sisa,Kata Kerja,
gubuk,GUBUK,rumah kecil dan sangat sederhana,,
gudheg,GUDHEG,masakan terbuat dari nangka muda,Kata Benda,
gudig,GUDIG,kudis,Kata Benda,
gudir,GUDIR,agar-agar,Kata Benda,
gudèl,GUDEL,anak kerbau,,
gugah,GUGAH,bangunkan,Kata Kerja,
gugu,GUGU,percaya,Kata Kerja,
gugur,GUGUR,mati di medan perang,Kata Kerja,
gulu,GULU,leher,Kata Benda,
gumpil,GUMPIL,runtuh (tanah,Kata Kerja,
gumuk,GUMUK,bukit kecil,Kata Benda,
gumyak,GUMYAK,ramai; ceria,Kata Sifat,
gundhul,GUNDHUL,kepala,Kata Benda,
gundhul,GUNDHUL,"tidak berambut; kepala, tanpa rambut kepala",Kata Sifat,
gupuh,GUPUH,tergopoh-gopoh,,
gurah,GURAH,nama tanaman,Kata Benda,
gurah,GURAH,membersihkan saluran pernafasan menggunakan getah tanaman gurah,Kata Kerja,
gusah,GUSAH,halau,Kata Kerja,
gutuk,GUTUK,"sesuai, impas",,
guyang,GUYANG,mandi (biasanya untuk ternak),,
guyu,GUYU,"tertawa, tawa; [[guyon",,
guyub,GUYUB,rukun damai,Kata Sifat,
gya,GYA,segera,Kata Keadaan,
gèdhèg,GEDHEG,menggelengkan kepala tanda tidak menyetujui/tidak mau/menolak,,
gègèr,GEGER,"riuh, kacau",Kata Keadaan,
gènjèr,GENJER,nama sayuran,Kata Benda,
gèntèr,GENTER,galah,Kata Benda,
gèpèng,GEPENG,pipih,Kata Sifat,
gèsèh,GESEH,berbeda; tidak pas,Kata Sifat,
gèthèk,GETHEK,rakit,Kata Benda,
haldhoko,HALDHOKO,gunung,Kata Benda,Krama
handhoko,HANDHOKO,banteng,Kata Benda,Krama
hangasto,HANGASTO,membawa,Kata Kerja,Krama
hangganiro,HANGGANIRO,"badanmu, tubuhmu",Kata Benda,Krama
hapsoro,HAPSORO,buku/kitab,Kata Benda,Krama
hara,HARA,coba,Kata Seru,
harja,HARJA,selamat,Kata Sifat,
harsaya,HARSAYA,senang,Kata Sifat,
hasta,HASTA,tangan,Kata Benda,
hastha,HASTHA,delapan,Kata Bilangan,
hastho,HASTHO,langit,Kata Benda,Krama
hasti,HASTI,gajah,Kata Benda,
himalaya,HIMALAYA,gunung,Kata Benda,
himawan,HIMAWAN,gunung,Kata Benda,
hyang,HYANG,dewa,Kata Benda,
ibal,IBAL,betapa,Kata Sambung,
iberé,IBERE,terbang,Kata Benda,
ical,ICAL,hilang,Kata Sifat,Krama
idep,IDEP,bulu mata,Kata Benda,
ider,IDER,berjualan berkeliling,Kata Kerja,
idhep-idhep,IDHEP-IDHEP,sekalian; hitung-hitung,Kata Sambung,
idhi,IDHI,izin,Kata Benda,
idu,IDU,air ludah,Kata Benda,
iga,IGA,"tulang belikat, iga",Kata Benda,
iguh,IGUH,upaya; cara,Kata Benda,
ijem,IJEM,hijau,Kata Sifat,
ijir,IJIR,berhitung,Kata Kerja,
ijo,IJO,hijau,Kata Sifat,
ijol,IJOL,tukar,Kata Kerja,
iket,IKET,ikat kepala,Kata Benda,
iki,IKI,ini,Kata Benda,
iku,IKU,itu,Kata Benda,
ila-ila,ILA-ILA,kepercayaan; pantangan,Kata Benda,
ilat,ILAT,lidah,Kata Benda,
iler,ILER,air liur,Kata Benda,
ili,ILI,"aliran (air, darah, dsb.)",Kata Benda,
mili,MILI,mengalir,Kata Kerja,
ilir,ILIR,kipas,,
imbal,IMBAL,berselang-seling; saling,Kata Sambung,
imbu,IMBU,peram,Kata Kerja,
imbuh,IMBUH,tambah; bonus,Kata Kerja,
iming-iming,IMING-IMING,"hadiah yang dijanjikan; stimulan, perangsang, motivator",Kata Benda,
impèn,IMPEN,mimpi; impian,Kata Benda,
ina,INA,hina,Kata Sifat,
incer,INCER,incar,,
ngincer,NGINCER,mengincar,Kata Kerja,
ing,ING,di,Kata Depan,
inger,INGER,geser dengan sedikit mengubah arah,Kata Kerja,
ingklik,INGKLIK,bunga singkong,Kata Benda,
ingklik,INGKLIK,cepat-cepat berlalu; berjalan cepat,Kata Keadaan,
ingkung,INGKUNG,ayam panggang utuh,Kata Benda,
ingon-ingon,INGON-INGON,hewan peliharaan,Kata Benda,
ingsun,INGSUN,saya,Kata Benda,
ingu,INGU,memelihara (hewan),Kata Kerja,
inthil,INTHIL,kotoran kambing,,
intip,INTIP,kerak nasi,,
inuman,INUMAN,minuman,Kata Benda,
ipat-ipat,IPAT-IPAT,sumpah,,
ireng,IRENG,hitam,Kata Sifat,
iring-iring,IRING-IRING,mengantar pengantin ke rumah pasangannya,Kata Kerja,
iringan,IRINGAN,samping,Kata Keadaan,
isep,ISEP,hisap,Kata Kerja,
isih,ISIH,masih,Kata Keadaan,
isin,ISIN,rasa malu,Kata Benda,
isin,ISIN,malu,Kata Sifat,
ngisin-ngisini,NGISIN-NGISINI,"membuat malu, malu-maluin",Kata Kerja,
kisinan,KISINAN,malu (yang teramat sangat),Kata Sifat,
isis,ISIS,sejuk terkena semilir angin,Kata Sifat,
iwak,IWAK,ikan,Kata Benda,
jabang,JABANG,bayi,Kata Benda,
jabel,JABEL,cabut kembali,Kata Kerja,
jabut,JABUT,cabut,Kata Kerja,
jadah,JADAH,nama jajanan dari ketan,Kata Benda,
jagabaya,JAGABAYA,petugas keamanan desa,Kata Benda,
jagad,JAGAD,dunia,Kata Benda,
jagal,JAGAL,tukang potong hewan ternak,Kata Benda,
jagang,JAGANG,"penopang, standar",Kata Benda,
jail,JAIL,jahil,Kata Sifat,
jajah,JAJAH,menguasai wilayah negara lain,Kata Kerja,
jajah,JAJAH,telah bepergian ke berbagai pelosok,Kata Sifat,
jajal,JAJAL,coba,Kata Kerja,
jajan,JAJAN,makanan ringan,Kata Benda,
jaka,JAKA,"jejaka, perjaka",Kata Sifat,
jaladri,JALADRI,lautan,Kata Benda,
jalak,JALAK,nama burung,Kata Benda,
jalaran,JALARAN,penyebab,Kata Benda,
jaler,JALER,laki-laki,Kata Sifat,
jalma,JALMA,manusia,Kata Benda,
jalu,JALU,taji,Kata Benda,
jaluk,JALUK,minta,Kata Kerja,
jamas,JAMAS,keramas,Kata Kerja,
jambak,JAMBAK,menarik rambut,Kata Kerja,
jambal,JAMBAL,memanggil orang yang lebih tua hanya dengan nama tanpa panggilan sopan seperti pak/bu/kak,Kata Kerja,
jamban,JAMBAN,peturasan; kamar mandi; toilet,Kata Benda,
jambul,JAMBUL,jambul; sisiran rambut dengan model yang di atas kening dinaikkan,Kata Benda,
jambé,JAMBE,pinang (tanaman),Kata Benda,
jamu,JAMU,"obat tradisional jawa, jamu",Kata Benda,
jan,JAN,sungguh-sungguh,Kata Seru,
jancuk|jancuk/jancok,JANCUK|JANCUK/JANCOK,"salah satu bentuk umpatan, kalau di surabaya 'Cuk' biasa digunakan dalam bahasa sapaan sehari-hari bagi yang sudah kenal akrab",,
jangan,JANGAN,sayur (masakan),Kata Benda,
jangan bening,JANGAN BENING,sayur bening,Kata Benda,
njangan,NJANGAN,"menyayur, memasak sayur",Kata Kerja,
jangar,JANGAR,rasa sakit dan panas di kepala,Kata Sifat,
jangga,JANGGA,leher,Kata Benda,
janggel,JANGGEL,tongkol jagung,Kata Benda,
janggut,JANGGUT,dagu,Kata Benda,
jangka,JANGKA,jangka; ramalan,Kata Benda,
jangkar,JANGKAR,"memanggil nama, tanpa sebutan penghormatan",Kata Kerja,
jangkung,JANGKUNG,"tinggi (untuk orang), kawal, dilindungi",,
janma,JANMA,manusia,Kata Benda,
japa,JAPA,mantra,Kata Benda,
jarak,JARAK,cari perkara,Kata Kerja,
jaran,JARAN,kuda,Kata Benda,
jarang,JARANG,air panas,Kata Benda,
jaratan,JARATAN,kuburan,Kata Benda,
jarem,JAREM,ruam,Kata Sifat,
jarik,JARIK,kain panjang untuk pakaian wanita adat Jawa,Kata Benda,
jarit,JARIT,kain panjang,Kata Benda,
jarké,JARKE,biarkan,Kata Kerja,
jarwa,JARWA,"cerita, terjemah",Kata Kerja,
jaré,JARE,"kata, ucap; kira",Kata Kerja,
jaréné,JARENE,"katanya, dengar-dengar (tentang rumor)",Kata Kerja,
jathilan,JATHILAN,tarian kuda kepang,Kata Benda,
jatukrama,JATUKRAMA,jodoh,Kata Benda,
jawa,JAWA,bertanggung jawab; tahu kewajibannya,Kata Sifat,
jawah,JAWAH,hujan,Kata Benda,
jawat,JAWAT,"ganggu, godha (antara pria dan wanita)",Kata Kerja,
jawata,JAWATA,dewa,Kata Benda,
jawi,JAWI,jawa,Kata Benda,
jawil,JAWIL,senggol,Kata Kerja,
jaé,JAE,jahe,Kata Benda,
jegog,JEGOG,salak (anjing),Kata Kerja,
jegur,JEGUR,terjun ke dalam air,Kata Kerja,
jejeg,JEJEG,tendang,Kata Kerja,
jejeg,JEJEG,tegak,Kata Sifat,
jejer,JEJER,"adegan dalam pagelaran wayang yang menggambarkan pertemuan raja, para punggawa serta keluarga istana; sebagai; adegan pertama dalam pewayangan; subjek, pelaku",Kata Benda,
jejuluk,JEJULUK,"panggilan, sebutan",Kata Benda,
jelih,JELIH,teriak,Kata Kerja,
jelèh,JELEH,bosan,Kata Sifat,
jembar,JEMBAR,luas,Kata Sifat,
jembrak,JEMBRAK,rambut yang gondrong dan berdiri,Kata Sifat,
jempalik,JEMPALIK,terguling ke arah berlawanan,Kata Kerja,
jempol,JEMPOL,ibu jari,Kata Benda,
jemuwah,JEMUWAH,jumat,Kata Benda,
jemèk,JEMEK,becek,Kata Sifat,
jenang,JENANG,bubur halus,Kata Benda,
jenar,JENAR,merah; kuning emas,Kata Sifat,
jenaté,JENATE,almarhum,Kata Sifat,
jeneng,JENENG,nama,Kata Benda,
jenengan,JENENGAN,amda,Kata Benda,
jenggong,JENGGONG,salak (anjing),Kata Kerja,
jenggèlèk,JENGGELEK,bangkit secara tiba-tiba,Kata Keadaan,
jengkar,JENGKAR,"pergi, keluar; pindah, meninggalkan tempat",Kata Kerja,Krama
jengking,JENGKING,tungging,Kata Kerja,
jengkol,JENGKOL,jering,Kata Benda,
jenthik,JENTHIK,kelingking,Kata Benda,
jené,JENE,kuning,Kata Benda,
jeplak,JEPLAK,membuka dengan cepat,Kata Kerja,
jeram,JERAM,jeruk,Kata Benda,
jero,JERO,dalam,Kata Sifat,
jerohan,JEROHAN,isi perut,Kata Benda,
jeruk,JERUK,limau,Kata Benda,
jethungan,JETHUNGAN,petak umpet,Kata Kerja,
jimpit,JIMPIT,mengambil sedikit,Kata Kerja,
jimpitan,JIMPITAN,"iuran rutin biasanya dalam bentuk beras dalam jumlah sedikit, di taruh di tempat khusus, diambil oleh petugas khusus misalnya tukang ronda malam",Kata Benda,
jirih,JIRIH,penakut,Kata Sifat,
jiwit,JIWIT,cubit,Kata Kerja,
jlèntrèh,JLENTREH,jelaskan,Kata Kerja,
jodhang,JODHANG,perangkat untuk membawa barang pada upacara lamaran perkawinan,Kata Benda,
jodho,JODHO,jodoh; cocok; pasangan,Kata Benda,
joglo,JOGLO,salah satu arsitektur rumah Jawa,Kata Benda,
jojoh,JOJOH,"cucuk dengan benda tajam, tusuk",Kata Kerja,
jomplang,JOMPLANG,tidak seimbang,Kata Sifat,
jorjoran,JORJORAN,bersaing biasanya tidak sehat dan cenderung mengarah ke arah pamer,Kata Sifat,
jorok,JOROK,dorong sampai jatuh,Kata Kerja,
jothak,JOTHAK,"seteru; bermusuhan, tidak rukun",Kata Kerja,
jugruk,JUGRUK,runtuh dalam skala besar (misalnya tebing),Kata Sifat,
juju,JUJU,suap langsung ke dalam paruh,Kata Kerja,
jujug,JUJUG,langsung menuju,Kata Kerja,
jujul,JUJUL,kembalian,Kata Benda,
jujur,JUJUR,lurus,Kata Sifat,
julungpujut,JULUNGPUJUT,nama wuku dalam penanggalan jawa,Kata Benda,
julungwangi,JULUNGWANGI,nama wuku dalam penanggalan jawa,Kata Benda,
jumantara,JUMANTARA,angkasa,Kata Benda,
jumawa,JUMAWA,angkuh,Kata Sifat,
jumbuh,JUMBUH,"bertemu, cocok (untuk pendapat, pemikiran)",Kata Sifat,
jumpalitan/jempalitan,JUMPALITAN/JEMPALITAN,berguling guling;jungkir balik,,
jungkat/jongkat,JUNGKAT/JONGKAT,sisir rambut,,
jupuk,JUPUK,ambil,Kata Kerja,
juragan,JURAGAN,majikan,Kata Benda,
juwèh,JUWEH,suka memberikan komentar tentang urusan orang lain,Kata Sifat,
jèbèng,JEBENG,panggilan untuk bayi,Kata Benda,
jèjèr,JEJER,"bersanding, bersebelahan; berdampingan",Kata Sifat,
jèmbrèng,JEMBRENG,"buka lebar (untuk kain, kertas, dsb.)",Kata Kerja,
jèngkèl,JENGKEL,jengkel,Kata Benda,
jèrèng,JERENG,juling,Kata Sifat,
jèwèr,JEWER,"ditarik telinganya, jewer",Kata Kerja,
kabèh,KABEH,semua,Kata Bilangan,
kabul,KABUL,terkabul/terwujud,,
kaca,KACA,"halaman (buku dsb.), kaca",Kata Benda,
kacu,KACU,sapu tangan,Kata Benda,
kacuk,KACUK,kemaluan laki-laki,Kata Benda,
kacung,KACUNG,pelayan,Kata Benda,
kadang,KADANG,saudara,,
kadhung,KADHUNG,terlanjur,,
kademen,KADEMEN,kedinginan,,
kadhang,KADHANG,sesekali,,
kadingaren,KADINGAREN,tumben,,
kadohan,KADOHAN,kejauhan,,
kagèt,KAGET,terkejut,,
kahanan,KAHANAN,suasana / keadaan,,
kakang,KAKANG,kakak (laki-laki),Kata Benda,
kakehan,KAKEHAN,kebanyakan,,
kampleng,KAMPLENG,pukul / tèmpeleng,,
kampul-kampul,KAMPUL-KAMPUL,mengambang,,
kana,KANA,sana,,
kanca,KANCA,teman / kawan,Kata Benda,
kancrit,KANCRIT,ketinggalan,,
kanda,KANDA,bilang / mengatakan / lapor,Kata Kerja,
kandang,KANDANG,kandang / sarang / sangkar,Kata Benda,
kandhang,KANDHANG,rumah binatang,,
kandheg,KANDHEG,terhalang,,
kandhel,KANDHEL,tebal,,
kandhutan,KANDHUTAN,"kandungan, kehamilan",,
kanggo,KANGGO,"buat, untuk, terpakai",,
kapok,KAPOK,kapok/tidak mau mengulangi,,
kapuk,KAPUK,kapas,Kata Benda,
kasèp,KASEP,terlambat,,
kathok,KATHOK,celana,Kata Benda,
katrek,KATREK,bodoh,,
kebak,KEBAK,penuh,Kata Sifat,
kecelék,KECELEK,tertipu/terlambat tidak mendapatkan apa apa,,
kecik,KECIK,biji,,
keduwung,KEDUWUNG,menyesal,,
kajeng,KAJENG,ingin,,Krama
kekep,KEKEP,alat untuk memasak,,
kemaki,KEMAKI,belagu [laki-laki,,
kemayu,KEMAYU,genit [perempuan,,
kembang,KEMBANG,bunga,,
kembar,KEMBAR,kembar / sama / serupa,,
kemingkel,KEMINGKEL,terbahak,,
kemlakaren,KEMLAKAREN,terlalu kenyang,,
kempès,KEMPES,kempes,,
kemplu,KEMPLU,agak gila/sinthing,,
kemproh,KEMPROH,jorok,,
kemu,KEMU,kumur,,
kenceng,KENCENG,banter,,
kendel,KENDEL,berani,,
kendil,KENDIL,periuk nasi dari tanah,,
kendo,KENDO,longgar/kurang kuat/rapat,,
kene,KENE,sini,,
kenthir,KENTHIR,gila,,
kenthongan,KENTHONGAN,kentongan,,
kepencut,KEPENCUT,"terpesona, tergiur",,
kaplok,KAPLOK,tabok / tampar,,
keplok,KEPLOK,tepuk tangan,,
keplèsèt,KEPLESET,tergelincir,,
karso,KARSO,ingin,,
kerso,KERSO,mau,,
kerdus,KERDUS,kardus,,
kere,KERE,kere/gembel,,
keri,KERI,ketinggalan,,
kesel,KESEL,capek,,
keselak,KESELAK,tersedak,,
kesengsem,KESENGSEM,terpesona,,
kètèk,KETEK,kotoran mata; belek,Kata Benda,
kethak,KETHAK,jitak,,
kethèk,KETHEK,monyet,Kata Benda,
kidang,KIDANG,kijang,,
kirik,KIRIK,anak anjing,Kata Benda,
kitir,KITIR,surat,,
kiwa,KIWA,kiri,,
kimpul,KIMPUL,ubi talas,Kata Benda,
klabakan,KLABAKAN,"gugup, tergesa-gesa",,
klakep,KLAKEP,terdiam mendadak,,
klambi,KLAMBI,baju,,
klambi hem,KLAMBI HEM,baju kemeja,,
klambu,KLAMBU,gorden,,
klangopan,KLANGOPAN,"kantuk, selalu menguap",,
klanthung,KLANTHUNG,"nganggur, tidak memperoleh hasil apapun",,
klapa,KLAPA,kelapa,,
klebon,KLEBON,kemasukan,,
klebu,KLEBU,masuk,,
klelep,KLELEP,tenggelam,,
klenger,KLENGER,hampir tak sadarkan diri,,
klenger,KLENGER,sekarat /pingsan,,
klèntang,KLENTANG,buah kelor,,
klentheng,KLENTHENG,biji kapok randu,,
klethak,KLETHAK,gigit,,
klilip,KLILIP,kelilipan,,
